id	SYMBOL	GO TERM
511145.b3203	hpf	GO:0017148
511145.b3203	hpf	GO:0022611
511145.b3203	hpf	GO:0045900
511145.b3995	rsd	GO:0015968
511145.b3995	rsd	GO:0030813
511145.b3995	rsd	GO:0045892
511145.b2572	rseA	GO:0006950
511145.b2572	rseA	GO:0045892
511145.b2571	rseB	GO:0050821
511145.b2571	rseB	GO:0032885
511145.b2571	rseB	GO:0045892
511145.b2144	sanA	GO:0009410
511145.b2144	sanA	GO:0090549
511145.b0377	sbmA	GO:0015833
511145.b0377	sbmA	GO:0042884
511145.b0377	sbmA	GO:0042885
511145.b0377	sbmA	GO:0046677
511145.b0687	seqA	GO:0007062
511145.b0687	seqA	GO:0009314
511145.b0687	seqA	GO:0032297
511145.b0687	seqA	GO:0090143
511145.b3228	sspB	GO:0045732
511145.b3228	sspB	GO:0032781
511145.b3228	sspB	GO:1903052
511145.b0958	sulA	GO:0006974
511145.b0958	sulA	GO:0009432
511145.b0958	sulA	GO:0032272
511145.b0958	sulA	GO:0032466
511145.b0958	sulA	GO:0051782
511145.b0958	sulA	GO:2000245
511145.b0958	sulA	GO:0006281
511145.b3849	trkH	GO:0071805
511145.b3785	wzzE	GO:0009246
511145.b2311	ubiX	GO:0006744
511145.b2311	ubiX	GO:0120232
511145.b3386	rpe	GO:0009052
511145.b3386	rpe	GO:0019323
511145.b3386	rpe	GO:0005975
511145.b1183	umuD	GO:0006281
511145.b1183	umuD	GO:0006974
511145.b1183	umuD	GO:0009432
511145.b1183	umuD	GO:0019985
511145.b1183	umuD	GO:0045892
511145.b1272	sohB	GO:0006508
511145.b2312	purF	GO:0006164
511145.b2312	purF	GO:0006541
511145.b2784	relA	GO:0015949
511145.b2784	relA	GO:0015969
511145.b2784	relA	GO:0042594
511145.b3650	spoT	GO:0015949
511145.b3650	spoT	GO:0015969
511145.b3650	spoT	GO:0042594
511145.b3783	rho	GO:0006353
511145.b3824	rhtB	GO:0015826
511145.b3824	rhtB	GO:0042968
511145.b3823	rhtC	GO:0015826
511145.b3823	rhtC	GO:0006865
511145.b0025	ribF	GO:0006771
511145.b0025	ribF	GO:0009398
511145.b3294	rplQ	GO:0000027
511145.b3294	rplQ	GO:0002181
511145.b3186	rplU	GO:0002181
511145.b3302	rpmD	GO:0000027
511145.b3302	rpmD	GO:0002181
511145.b3305	rplF	GO:0000027
511145.b3305	rplF	GO:0002181
511145.b3307	rpsN	GO:0000028
511145.b3307	rpsN	GO:0002181
511145.b3307	rpsN	GO:0006412
511145.b3311	rpsQ	GO:0046677
511145.b3311	rpsQ	GO:0000028
511145.b3311	rpsQ	GO:0002181
511145.b0911	rpsA	GO:0006412
511145.b0911	rpsA	GO:2000766
511145.b0911	rpsA	GO:2000767
511145.b0911	rpsA	GO:0000028
511145.b0911	rpsA	GO:0002181
511145.b3832	rmuC	GO:0006310
511145.b0398	sbcD	GO:0006260
511145.b0398	sbcD	GO:0006274
511145.b0398	sbcD	GO:0006281
511145.b0398	sbcD	GO:0006310
511145.b3917	sbp	GO:0006790
511145.b3917	sbp	GO:0015709
511145.b3917	sbp	GO:1902358
511145.b3453	ugpB	GO:0001407
511145.b3453	ugpB	GO:0015794
511145.b3728	pstS	GO:0006817
511145.b3728	pstS	GO:0006974
511145.b3728	pstS	GO:0009314
511145.b3728	pstS	GO:0035435
511145.b3609	secB	GO:0006605
511145.b3609	secB	GO:0008104
511145.b3609	secB	GO:0015031
511145.b3609	secB	GO:0043952
511145.b3609	secB	GO:0036506
511145.b0408	secD	GO:0015031
511145.b0408	secD	GO:0032978
511145.b0408	secD	GO:0043952
511145.b0409	secF	GO:0015031
511145.b0409	secF	GO:0032978
511145.b0409	secF	GO:0043952
511145.b3981	secE	GO:0006616
511145.b3981	secE	GO:0006886
511145.b3981	secE	GO:0032978
511145.b3981	secE	GO:0043952
511145.b3981	secE	GO:0065002
511145.b3175	secG	GO:0006616
511145.b3175	secG	GO:0006886
511145.b3175	secG	GO:0032978
511145.b3175	secG	GO:0043952
511145.b3175	secG	GO:0065002
511145.b3300	secY	GO:0006616
511145.b3300	secY	GO:0006886
511145.b3300	secY	GO:0032978
511145.b3300	secY	GO:0043952
511145.b3300	secY	GO:0065002
511145.b3669	uhpA	GO:0006355
511145.b4388	serB	GO:0006564
511145.b4388	serB	GO:0008652
511145.b3461	rpoH	GO:0006351
511145.b3461	rpoH	GO:0006355
511145.b3461	rpoH	GO:0009408
511145.b3461	rpoH	GO:0010468
511145.b3461	rpoH	GO:0006310
511145.b3461	rpoH	GO:0006352
511145.b3461	rpoH	GO:2000142
511145.b2573	rpoE	GO:0006355
511145.b2573	rpoE	GO:0006970
511145.b2573	rpoE	GO:0009266
511145.b2573	rpoE	GO:0006352
511145.b2573	rpoE	GO:0036460
511145.b2573	rpoE	GO:0045892
511145.b2573	rpoE	GO:0090605
511145.b2573	rpoE	GO:2000142
511145.b3666	uhpT	GO:0015712
511145.b3666	uhpT	GO:0015760
511145.b3666	uhpT	GO:0035435
511145.b4392	slt	GO:0009253
511145.b2558	mltF	GO:0009253
