3160	22	0.8
3160	1301	0.8
3160	3903	0.8
3160	849	0.8
3160	157	0.8
3160	1065	0.9
3160	1480	0.8
3160	2738	0.8
3160	2251	0.8
3160	4065	0.8
3160	1659	0.8
3160	4124	0.8
3160	382	0.8
3160	1113	0.8
3160	1720	0.8
3160	3533	0.9
3160	2281	0.8
3160	4004	0.9
3160	3243	0.9
3160	150	0.8
3160	1463	0.8
3160	376	0.8
3160	27	0.8
3160	1100	0.8
3160	151	0.9
3160	3843	0.8
3160	865	0.8
3160	226	0.9
3160	1532	0.8
3160	738	0.8
151	1113	0.8
151	3533	0.9
151	1659	0.8
151	1301	0.8
151	4124	0.8
151	22	0.8
151	3859	0.9
151	3160	0.9
151	1532	0.8
151	2738	0.8
151	1100	0.8
151	3843	0.8
151	865	0.8
151	376	0.8
151	1463	0.8
3859	1708	0.9
3859	733	0.9
3859	829	0.9
3859	2470	0.9
3859	2497	0.9
3859	2752	0.9
3859	151	0.9
2407	3049	0.9
2407	2922	0.9
2407	2429	0.8
2407	2613	0.8
2407	3669	0.9
2407	3617	0.8
2407	1912	0.8
2407	90	0.9
2407	3910	0.8
2407	4029	0.8
2407	1848	0.9
2407	862	0.9
2407	593	0.8
2407	2688	0.8
2407	3780	0.9
2407	2250	0.8
2407	1016	0.9
2407	173	0.8
2407	613	0.9
2407	3370	0.8
2407	1079	0.9
2407	1399	0.8
2407	146	0.8
2407	2177	0.8
2407	3314	0.8
2407	3561	0.9
2407	3115	0.8
2407	3268	0.8
2407	3584	0.9
2407	995	0.8
1439	610	0.9
1439	2581	0.9
1439	143	0.9
3536	1704	0.135
3536	1992	0.09
3536	1496	0.129
3536	3671	0.049
3536	1308	0.088
3536	321	0.046
3536	1972	0.054
3536	1497	0.088
3536	2926	0.208
3536	948	0.088
3536	3044	0.043
3536	2155	0.252
3536	3337	0.126
3536	1728	0.079
3536	3541	0.227
3536	1908	0.141
3536	1337	0.227
3536	998	0.092
3536	2853	0.135
3536	1033	0.045
3536	2893	0.135
3536	1410	0.138
3536	3142	0.092
3536	3738	0.144
3536	3499	0.09
3536	3869	0.088
3536	2354	0.118
3536	397	0.088
3536	1630	0.044
3536	1807	0.126
3536	3002	0.044
3536	3531	0.054
3536	1225	0.144
3536	1194	0.138
3536	3829	0.135
3536	2429	0.09
3536	2771	0.135
3536	905	0.045
3536	1008	0.135
3536	1965	0.044
3536	68	0.088
3536	97	0.088
3536	1909	0.046
3536	1299	0.138
3536	2075	0.135
3536	2951	0.208
3536	2946	0.043
3536	2068	0.138
3536	4101	0.044
3536	2368	0.092
3536	2296	0.112
3536	278	0.045
3536	619	0.043
3536	2865	0.079
3536	3370	0.09
3536	376	0.127
3536	2995	0.051
3536	237	0.091
3536	4130	0.138
3536	1563	0.045
3536	270	0.049
3536	2124	0.044
3536	1231	0.104
3536	3728	0.138
3536	193	0.051
3536	1860	0.138
3536	1635	0.309
3536	2563	0.046
3536	954	0.045
3536	1637	0.088
3536	4058	0.069
3536	441	0.088
3536	1326	0.079
3536	2841	0.088
3536	1251	0.088
3536	3947	0.049
3536	1382	0.091
3536	1519	0.054
3536	1836	0.227
3536	498	0.068
3536	3989	0.138
3536	655	0.091
3536	3618	0.046
3536	3407	0.095
3536	409	0.09
3536	883	0.054
1836	2296	0.072
1836	619	0.098
1836	2865	0.043
1836	3414	0.111
1836	387	0.071
1836	4130	0.159
1836	2244	0.227
1836	2336	0.043
1836	1571	0.111
1836	1008	0.142
1836	3240	0.308
1836	68	0.08
1836	1299	0.159
1836	2075	0.142
1836	2946	0.082
1836	260	0.054
1836	2068	0.159
1836	441	0.08
1836	1326	0.043
1836	3536	0.227
1836	2841	0.08
1836	588	0.043
1836	1251	0.08
1836	1382	0.067
1836	1519	0.058
1836	3989	0.159
1836	655	0.067
1836	3912	0.111
1836	2145	0.111
1836	1231	0.328
1836	4133	0.227
1836	3728	0.159
1836	2352	0.046
1836	1860	0.159
1836	1635	0.345
1836	3796	0.045
1836	1637	0.08
