1400	3999	0.005
3160	1301	0.001
3160	3298	0.382
3160	334	0.004
3160	4124	0.019
3160	4004	0.204
3160	1875	0.874
151	3859	0.864
3859	151	0.864
1439	2467	0.313
1439	610	0.565
1439	2581	0.899
1439	299	0.88
2293	326	0.322
3536	1153	0.347
3536	1469	0.145
3536	1337	0.16
3536	2424	0.001
3536	1568	0.025
3536	3383	0.001
3536	3260	0.019
3536	2590	0.004
3536	1082	0.001
3536	3997	0.025
3536	2299	0.004
3536	3979	0.003
3536	881	0.04
3536	1505	0.004
3536	2707	0.03
3536	3777	0.06
3536	3021	0.003
3536	1447	0.001
3536	1263	0.003
3536	1635	0.005
3536	162	0.261
3536	1836	0.297
1836	142	0.585
1836	2244	0.14
1836	595	0.06
1836	3711	0.001
1836	260	0.335
1836	2724	0.601
1836	3536	0.297
1836	2541	0.587
1836	1575	0.05
1836	371	0.035
1836	1907	0.005
1836	12	0.087
1836	931	0.062
1836	3798	0.163
1132	1991	0.662
1132	142	0.651
1132	207	0.771
1132	2179	0.891
1132	866	0.169
1132	1999	0.786
1132	985	0.013
1132	3179	0.187
142	619	0.276
142	1337	0.073
142	3967	0.055
142	3671	0.121
142	3090	0.009
142	124	0.024
142	207	0.562
142	55	0.026
142	3706	0.012
142	2651	0.493
142	1836	0.585
142	1132	0.651
2651	142	0.493
3772	3298	0.9
3772	3669	0.2
3772	1999	0.899
3772	3513	0.008
3772	3941	0.678
3772	3024	0.029
3772	3835	0.306
3772	897	0.054
2910	333	0.14
2910	1396	0.048
2910	2364	0.114
1633	2258	0.273
1633	786	0.762
1633	1125	0.315
1633	2063	0.603
786	1568	0.103
786	1633	0.762
786	2128	0.497
786	27	0.9
786	2063	0.9
786	1005	0.097
786	2193	0.51
786	1869	0.9
786	3997	0.103
2063	1633	0.603
2063	1720	0.38
2063	1093	0.353
2063	1777	0.9
2063	3377	0.313
2063	786	0.9
2063	27	0.9
2063	2356	0.186
2063	1869	0.9
2063	2193	0.58
2063	1111	0.87
2063	467	0.278
2063	2128	0.521
2001	1906	0.198
2001	2871	0.286
3914	1855	0.116
3914	3753	0.003
3914	506	0.003
3914	1958	0.015
3914	3793	0.022
3914	3512	0.021
3914	3083	0.899
3914	1335	0.002
3914	3159	0.057
3914	287	0.092
3914	3973	0.093
3914	511	0.665
3914	3939	0.001
3914	3175	0.014
3914	2217	0.028
3914	4121	0.071
3914	3673	0.01
3914	1702	0.098
3973	457	0.033
3973	3914	0.093
3973	295	0.001
3973	2668	0.091
3973	773	0.332
3973	625	0.039
3973	3050	0.43
3973	1910	0.315
3973	1975	0.001
3973	284	0.036
3973	3269	0.125
3973	2997	0.004
3973	890	0.428
3973	3381	0.045
3973	2310	0.057
3753	1910	0.058
3753	457	0.005
3753	3914	0.003
2310	1702	0.895
2310	3973	0.057
2310	3159	0.077
2310	3083	0.053
2310	295	0.005
2310	2668	0.127
2310	1958	0.101
2310	1150	0.019
2310	1855	0.862
2310	1954	0.001
